author,description
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, ліногравюра. 45х43; 35,5х33,5"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, ліногравюра. 42х45; 37,5х40"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, ліногравюра. 42х50,5; 37,5х45"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, офорт. 29х22,5; 23х16,5"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, офорт. 27х22,5; 21,5х17"
Биков Анатолій Федорович,"Водні лижі. Папір, офорт. 31х27,5; 26,5х23,5"
Биков Анатолій Федорович,"Гонки. Папір, офорт. 32,5х29,5; 26х23"
Биков Анатолій Федорович,"Гонки. Папір, офорт. 31х27,5; 26,5х23"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, офорт. 35,5х27; 29,5х21"
Биков Анатолій Федорович,"Індустріальний мотив. Папір, літографія. 31,5х41; 27,5х37"
Биков Анатолій Федорович,"На суднобудівному. Папір, монотипія. 53х44; 47х38,5"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». Папір, літографія. 40х29,5; 34х23,5"
Биков Анатолій Федорович,"З серії «Післявійськові будівництва». 1975. Тонований папір, літографія. 40х29,5; 34х23,5"
Биков Анатолій Федорович,"На суднобудівному. Папір, офорт. 56,5х41; 48,5х34"
Биков Анатолій Федорович,"Сталевари. Папір, офорт. 55,5х72,5; 49х64,5"
Биков Анатолій Федорович,"Сталевари. Папір, офорт. 55,5х72,5; 49х64,5"
Биков Анатолій Федорович,"Херсонський суднобудівний завод. Папір, кольоровий офорт. 71х57,5; 64,5х49,5"
Биков Анатолій Федорович,"Крим. Татарська садиба. 2003. Папір, акварель. 36,3х52,3"
Биков Анатолій Федорович,"Тиша. 2004. Папір, акварель. 39,7х51"
Биков Анатолій Федорович,"Світанок на річці Козак. 1997. Папір, акварель. 41х50,8"
Биков Анатолій Федорович,"Квіти. 2020. Папір, акварель. 40,2х38,5"
Биндлер-Данилова Ізабелла Григор.,"Зварник. 1969. Папір, ліногравюра. 44х49"
Білецька Світлана Анат.,"Квітка полонини. 2011. Папір, акварель. 29х41 (в світлі)"
Білецька Світлана Анат.,"Дві копички. 2011. Папір, акварель. 27х39 (в світлі)"
Білецька Світлана Анат.,"Над горами. 2011. Папір, акварель. 29х42"
Білецька Світлана Анат.,"Карпатські простори. 2011. Папір, акварель. 29х42"
Білецька Світлана Анат.,"Зупинка. 2011. Папір, акварель. 27х39 (в світлі)"
Білецька Світлана Анат.,"Осінь минулого року. 2010. Папір, акварель. 54х69 (у світлі)"
Білецька Світлана Анат.,"Зимно. 2013. Папір, акварель. 42х58 (в світлі)"
